id,clustering
0,0
1,1
2,0
3,2
4,0
5,0
6,0
7,3
8,4
9,3
10,5
11,3
12,6
13,0
14,7
15,3
16,0
17,0
18,7
19,3
20,0
21,0
22,8
23,0
24,9
25,10
26,9
27,11
28,0
29,12
30,11
31,11
32,13
33,14
34,15
35,16
36,17
37,13
38,18
39,19
40,20
41,0
42,0
43,21
44,0
45,3
46,0
47,22
48,9
49,23
50,24
51,25
52,26
53,27
54,28
55,29
56,30
57,31
58,0
59,32
60,33
61,34
62,0
63,0
64,0
65,25
66,35
67,36
68,37
69,37
70,38
71,39
72,40
73,41
74,0
75,42
76,43
77,44
78,45
79,46
80,0
81,0
82,0
83,0
84,0
85,47
86,0
87,0
88,48
89,2
90,49
91,50
92,51
93,0
94,52
95,53
96,0
97,54
98,55
99,56
100,57
101,58
102,59
103,60
104,61
105,0
106,0
107,0
108,62
109,63
110,64
111,65
112,66
113,0
114,0
115,0
116,0
117,67
118,68
119,43
120,69
121,0
122,70
123,71
124,3
125,72
126,73
127,74
128,0
129,0
130,75
131,76
132,0
133,0
134,77
135,78
136,79
137,0
138,80
139,81
140,82
141,3
142,0
143,83
144,84
145,0
146,85
147,1
148,86
149,87
150,88
151,89
152,0
153,90
154,90
155,0
156,91
157,33
158,92
159,93
160,0
161,3
162,94
163,76
164,95
165,0
166,0
167,7
168,0
169,0
170,0
171,96
172,0
173,0
174,31
175,3
176,97
177,98
178,99
179,100
180,0
181,101
182,33
183,0
184,0
185,3
186,102
187,0
188,103
189,1
190,104
191,105
192,3
193,3
194,106
195,107
196,108
197,109
198,110
199,111
200,112
201,113
202,114
203,115
204,116
205,117
206,118
207,119
208,31
209,0
210,0
211,0
212,0
213,120
214,121
215,0
216,3
217,122
218,123
219,124
220,125
221,123
222,103
223,123
224,70
225,126
226,0
227,127
228,128
229,129
230,130
231,70
232,7
233,92
234,131
235,132
236,92
237,133
238,134
239,135
240,3
241,3
242,136
243,137
244,138
245,139
246,120
247,3
248,40
249,0
250,140
251,141
252,0
253,142
254,0
255,0
256,0
257,143
258,83
259,144
260,145
261,146
262,147
263,148
264,149
265,3
266,150
267,3
268,151
269,0
270,152
271,2
272,153
273,154
274,155
275,156
276,157
277,158
278,159
279,160
280,0
281,31
282,0
283,0
284,161
285,0
286,3
287,162
288,163
289,164
290,0
291,165
292,166
293,167
294,3
295,33
296,0
297,168
298,169
299,170
300,0
301,0
302,171
303,0
304,172
305,173
306,174
307,175
308,176
309,177
310,178
311,40
312,179
313,180
314,181
315,182
316,183
317,180
318,148
319,184
320,185
321,186
322,3
323,187
324,188
325,189
326,190
327,191
328,192
329,0
330,40
331,193
332,3
333,0
334,194
335,194
336,195
337,196
338,16
339,197
340,0
341,40
342,198
343,199
344,70
345,200
346,201
347,202
348,203
349,204
350,205
351,105
352,206
353,207
354,208
355,0
356,209
357,83
358,3
359,3
360,3
361,210
362,0
363,159
364,211
365,0
366,0
367,0
368,212
369,213
370,9
371,0
372,214
373,215
374,216
375,83
376,217
377,0
378,218
379,219
380,220
381,221
382,222
383,223
384,224
385,225
386,226
387,227
388,228
389,229
390,230
391,231
392,232
393,0
394,233
395,234
396,235
397,236
398,237
399,238
400,239
401,3
402,240
403,241
404,0
405,0
406,242
407,243
408,2
409,16
410,3
411,0
412,2
413,244
414,70
415,245
416,246
417,247
418,248
419,0
420,0
421,249
422,250
423,251
424,0
425,252
426,148
427,89
428,253
429,3
430,254
431,255
432,256
433,257
434,0
435,258
436,259
437,9
438,11
439,260
440,261
441,262
442,9
443,9
444,263
445,264
446,265
447,266
448,267
449,70
450,0
451,268
452,3
453,269
454,270
455,9
456,271
457,272
458,273
459,103
460,274
461,275
462,276
463,277
464,278
465,279
466,280
467,281
468,70
469,282
470,283
471,284
472,285
473,0
474,0
475,286
476,287
477,288
478,289
479,70
480,290
481,291
482,292
483,293
484,294
485,295
486,25
487,3
488,296
489,297
490,209
491,218
492,298
493,0
494,0
495,0
496,299
497,300
498,301
499,302
500,3
501,303
502,21
503,304
504,305
505,306
506,262
507,307
508,308
509,37
510,309
511,310
512,311
513,312
514,313
515,314
516,3
517,315
518,0
519,316
520,317
521,318
522,3
523,3
524,40
525,319
526,320
527,321
528,322
529,3
530,323
531,44
532,3
533,0
534,324
535,325
536,326
537,327
538,328
539,329
540,330
541,3
542,331
543,3
544,332
545,333
546,0
547,9
548,334
549,37
550,335
551,336
552,337
553,338
554,339
555,340
556,40
557,341
558,342
559,343
560,344
561,345
562,346
563,347
564,73
565,348
566,349
567,350
568,351
569,3
570,3
571,352
572,353
573,354
574,355
575,70
576,356
577,357
578,358
579,359
580,360
581,361
582,362
583,363
584,364
585,365
586,366
587,367
588,368
589,3
590,369
591,370
592,371
593,372
594,373
595,374
596,375
597,376
598,377
599,378
600,379
601,380
602,381
603,70
604,382
605,70
606,383
607,3
608,120
609,384
610,385
611,386
612,76
613,258
614,387
615,388
616,389
617,3
618,3
619,390
620,391
621,392
622,393
623,394
624,395
625,396
626,397
627,398
628,399
629,400
630,401
631,402
632,70
633,403
634,3
635,3
636,404
637,405
638,3
639,406
640,407
641,408
642,312
643,409
644,410
645,70
646,411
647,412
648,413
649,414
650,415
651,416
652,417
653,418
654,419
655,420
656,70
657,421
658,422
659,423
660,424
661,425
662,426
663,427
664,428
665,3
666,429
667,430
668,431
669,432
670,433
671,3
672,434
673,435
674,3
675,436
676,437
677,438
678,40
679,439
680,440
681,441
682,442
683,443
684,444
685,445
686,446
687,447
688,3
689,3
690,448
691,449
692,70
693,450
694,451
695,452
696,40
697,453
698,454
699,3
700,3
701,455
702,456
703,457
704,458
705,459
706,460
707,461
708,462
709,3
710,463
711,464
712,3
713,465
714,466
715,467
716,468
717,469
718,470
719,70
720,471
721,13
722,472
723,473
724,474
725,475
726,476
727,477
728,478
729,479
730,480
731,481
732,482
733,483
734,484
735,3
736,485
737,486
738,454
739,487
740,488
741,489
742,490
743,3
744,491
745,492
746,493
747,494
748,495
749,496
750,497
751,498
752,499
753,500
754,501
755,502
756,503
757,504
758,505
759,506
760,507
761,508
762,3
763,509
764,510
765,511
766,512
767,513
768,514
769,515
770,516
771,517
772,518
773,519
774,520
775,521
776,522
777,523
778,524
779,525
780,526
781,527
782,528
783,529
784,530
785,531
786,532
787,533
788,469
789,534
790,535
791,536
792,537
793,258
794,3
795,538
796,539
797,70
798,540
799,541
800,542
801,543
802,544
803,3
804,348
805,3
806,545
807,546
808,547
809,548
810,549
811,550
812,551
813,552
814,70
815,553
816,554
817,3
818,555
819,556
820,0
821,557
822,558
823,3
824,559
825,483
826,3
827,560
828,561
829,3
830,3
831,562
832,3
833,563
834,564
835,565
836,3
837,566
838,3
839,567
840,568
841,70
842,569
843,570
844,571
845,3
846,70
847,572
848,573
849,574
850,575
851,70
852,70
853,576
854,577
855,578
856,6
857,579
858,580
859,2
860,9
861,581
862,582
863,583
864,584
865,3
866,585
867,586
868,587
869,70
870,588
871,70
872,461
873,3
874,589
875,590
876,591
877,592
878,593
879,594
880,3
881,595
882,596
883,13
884,597
885,598
886,599
887,598
888,600
889,601
890,602
891,603
892,604
893,605
894,606
895,607
896,608
897,609
898,610
899,611
900,612
901,613
902,614
903,70
904,615
905,616
906,617
907,70
908,3
909,618
910,619
911,620
912,621
913,3
914,554
915,622
916,70
917,623
918,623
919,624
920,258
921,625
922,626
923,483
924,627
925,572
926,628
927,3
928,629
929,3
930,630
931,631
932,0
933,194
934,632
935,514
936,633
937,634
938,635
939,636
940,637
941,638
942,258
943,639
944,640
945,641
946,642
947,643
948,644
949,645
950,646
951,3
952,463
953,647
954,648
955,649
956,650
957,3
958,651
959,652
960,653
961,654
962,651
963,655
964,656
965,657
966,658
967,659
968,660
969,661
970,662
971,5
972,3
973,663
974,664
975,665
976,9
977,666
978,667
979,668
980,669
981,9
982,670
983,671
984,672
985,673
986,674
987,554
988,675
989,676
990,677
991,678
992,679
993,680
994,681
995,3
996,682
997,683
998,684
999,685
1000,686
1001,687
1002,688
1003,689
1004,690
